0,1,2,3,4,5,6,7
1.030027,anon,1,KNN,10000r,10f,0,.csv
1.005063,anon,1,KNN,10000r,10f,1,.csv
1.02783,anon,1,KNN,10000r,10f,2,.csv
1.6827949999999998,anon,1,KNN,10000r,15f,0,.csv
1.5938679999999998,anon,1,KNN,10000r,15f,1,.csv
1.585872,anon,1,KNN,10000r,15f,2,.csv
1.984186,anon,1,KNN,10000r,20f,0,.csv
2.191278,anon,1,KNN,10000r,20f,1,.csv
2.049738,anon,1,KNN,10000r,20f,2,.csv
0.14154,anon,1,KNN,1000r,10f,0,.csv
0.144164,anon,1,KNN,1000r,10f,1,.csv
0.160156,anon,1,KNN,1000r,10f,2,.csv
0.243774,anon,1,KNN,1000r,15f,0,.csv
0.176147,anon,1,KNN,1000r,15f,1,.csv
0.14874199999999999,anon,1,KNN,1000r,15f,2,.csv
0.27014099999999996,anon,1,KNN,1000r,20f,0,.csv
0.19860799999999998,anon,1,KNN,1000r,20f,1,.csv
0.23510699999999998,anon,1,KNN,1000r,20f,2,.csv
0.5109239999999999,anon,1,KNN,5000r,10f,0,.csv
0.518249,anon,1,KNN,5000r,10f,1,.csv
0.565306,anon,1,KNN,5000r,10f,2,.csv
0.822813,anon,1,KNN,5000r,15f,0,.csv
0.7652559999999999,anon,1,KNN,5000r,15f,1,.csv
0.7650739999999999,anon,1,KNN,5000r,15f,2,.csv
0.87286,anon,1,KNN,5000r,20f,0,.csv
0.9123509999999999,anon,1,KNN,5000r,20f,1,.csv
0.876401,anon,1,KNN,5000r,20f,2,.csv
3.879507,anon,1,Logistic,10000r,10f,0,.csv
3.910085,anon,1,Logistic,10000r,10f,1,.csv
3.830008,anon,1,Logistic,10000r,10f,2,.csv
8.532388,anon,1,Logistic,10000r,15f,0,.csv
8.789223,anon,1,Logistic,10000r,15f,1,.csv
8.388345,anon,1,Logistic,10000r,15f,2,.csv
11.773895,anon,1,Logistic,10000r,20f,0,.csv
11.95108,anon,1,Logistic,10000r,20f,1,.csv
12.185697999999999,anon,1,Logistic,10000r,20f,2,.csv
0.690672,anon,1,Logistic,1000r,10f,0,.csv
0.701537,anon,1,Logistic,1000r,10f,1,.csv
0.714658,anon,1,Logistic,1000r,10f,2,.csv
0.900937,anon,1,Logistic,1000r,15f,0,.csv
0.864255,anon,1,Logistic,1000r,15f,1,.csv
0.876768,anon,1,Logistic,1000r,15f,2,.csv
1.254819,anon,1,Logistic,1000r,20f,0,.csv
1.3045,anon,1,Logistic,1000r,20f,1,.csv
1.161679,anon,1,Logistic,1000r,20f,2,.csv
3.497244,anon,1,Logistic,5000r,10f,0,.csv
3.5012119999999998,anon,1,Logistic,5000r,10f,1,.csv
3.549063,anon,1,Logistic,5000r,10f,2,.csv
4.760668,anon,1,Logistic,5000r,15f,0,.csv
4.902209,anon,1,Logistic,5000r,15f,1,.csv
4.591114,anon,1,Logistic,5000r,15f,2,.csv
5.809557,anon,1,Logistic,5000r,20f,0,.csv
5.7811129999999995,anon,1,Logistic,5000r,20f,1,.csv
5.805649,anon,1,Logistic,5000r,20f,2,.csv
1396.302944,anon,1,RF,10000r,10f,0,.csv
1384.453975,anon,1,RF,10000r,10f,1,.csv
1388.482652,anon,1,RF,10000r,10f,2,.csv
1754.872766,anon,1,RF,10000r,15f,0,.csv
1752.251069,anon,1,RF,10000r,15f,1,.csv
1751.603914,anon,1,RF,10000r,15f,2,.csv
2248.981668,anon,1,RF,10000r,20f,0,.csv
2231.23495,anon,1,RF,10000r,20f,1,.csv
2235.7799809999997,anon,1,RF,10000r,20f,2,.csv
422.05195799999996,anon,1,RF,1000r,10f,0,.csv
421.713397,anon,1,RF,1000r,10f,1,.csv
422.529252,anon,1,RF,1000r,10f,2,.csv
464.441804,anon,1,RF,1000r,15f,0,.csv
460.451276,anon,1,RF,1000r,15f,1,.csv
459.60062999999997,anon,1,RF,1000r,15f,2,.csv
470.620439,anon,1,RF,1000r,20f,0,.csv
471.654066,anon,1,RF,1000r,20f,1,.csv
470.39845399999996,anon,1,RF,1000r,20f,2,.csv
735.273326,anon,1,RF,5000r,10f,0,.csv
749.082372,anon,1,RF,5000r,10f,1,.csv
745.100569,anon,1,RF,5000r,10f,2,.csv
1163.085646,anon,1,RF,5000r,15f,0,.csv
1133.915493,anon,1,RF,5000r,15f,1,.csv
1144.304383,anon,1,RF,5000r,15f,2,.csv
1251.453828,anon,1,RF,5000r,20f,0,.csv
1252.500944,anon,1,RF,5000r,20f,1,.csv
1247.809855,anon,1,RF,5000r,20f,2,.csv
1.1184669999999999,anon,2,KNN,10000r,10f,0,.csv
1.038877,anon,2,KNN,10000r,10f,1,.csv
1.088681,anon,2,KNN,10000r,10f,2,.csv
1.5545609999999999,anon,2,KNN,10000r,15f,0,.csv
1.8559519999999998,anon,2,KNN,10000r,15f,1,.csv
1.586482,anon,2,KNN,10000r,15f,2,.csv
1.817867,anon,2,KNN,10000r,20f,0,.csv
2.306575,anon,2,KNN,10000r,20f,1,.csv
1.845332,anon,2,KNN,10000r,20f,2,.csv
0.176085,anon,2,KNN,1000r,10f,0,.csv
0.179565,anon,2,KNN,1000r,10f,1,.csv
0.20104899999999998,anon,2,KNN,1000r,10f,2,.csv
0.259276,anon,2,KNN,1000r,15f,0,.csv
0.179748,anon,2,KNN,1000r,15f,1,.csv
0.184997,anon,2,KNN,1000r,15f,2,.csv
0.235168,anon,2,KNN,1000r,20f,0,.csv
0.20477199999999998,anon,2,KNN,1000r,20f,1,.csv
0.212951,anon,2,KNN,1000r,20f,2,.csv
0.357116,anon,2,KNN,5000r,10f,0,.csv
0.407835,anon,2,KNN,5000r,10f,1,.csv
0.38067599999999996,anon,2,KNN,5000r,10f,2,.csv
0.770749,anon,2,KNN,5000r,15f,0,.csv
0.761289,anon,2,KNN,5000r,15f,1,.csv
0.7640359999999999,anon,2,KNN,5000r,15f,2,.csv
0.876402,anon,2,KNN,5000r,20f,0,.csv
0.879637,anon,2,KNN,5000r,20f,1,.csv
0.8868389999999999,anon,2,KNN,5000r,20f,2,.csv
4.624743,anon,2,Logistic,10000r,10f,0,.csv
4.525319,anon,2,Logistic,10000r,10f,1,.csv
4.293934999999999,anon,2,Logistic,10000r,10f,2,.csv
8.694253,anon,2,Logistic,10000r,15f,0,.csv
8.909035,anon,2,Logistic,10000r,15f,1,.csv
8.528177,anon,2,Logistic,10000r,15f,2,.csv
12.816127999999999,anon,2,Logistic,10000r,20f,0,.csv
12.65878,anon,2,Logistic,10000r,20f,1,.csv
12.015533,anon,2,Logistic,10000r,20f,2,.csv
0.825743,anon,2,Logistic,1000r,10f,0,.csv
0.808653,anon,2,Logistic,1000r,10f,1,.csv
0.7938219999999999,anon,2,Logistic,1000r,10f,2,.csv
0.905515,anon,2,Logistic,1000r,15f,0,.csv
0.83563,anon,2,Logistic,1000r,15f,1,.csv
0.849362,anon,2,Logistic,1000r,15f,2,.csv
1.092832,anon,2,Logistic,1000r,20f,0,.csv
1.0759859999999999,anon,2,Logistic,1000r,20f,1,.csv
1.057675,anon,2,Logistic,1000r,20f,2,.csv
1.727596,anon,2,Logistic,5000r,10f,0,.csv
1.562863,anon,2,Logistic,5000r,10f,1,.csv
1.7698319999999998,anon,2,Logistic,5000r,10f,2,.csv
4.317372,anon,2,Logistic,5000r,15f,0,.csv
4.256641,anon,2,Logistic,5000r,15f,1,.csv
4.226185,anon,2,Logistic,5000r,15f,2,.csv
5.908920999999999,anon,2,Logistic,5000r,20f,0,.csv
5.858445,anon,2,Logistic,5000r,20f,1,.csv
5.949204,anon,2,Logistic,5000r,20f,2,.csv
1279.669515,anon,2,RF,10000r,10f,0,.csv
1281.792189,anon,2,RF,10000r,10f,1,.csv
1268.273303,anon,2,RF,10000r,10f,2,.csv
1799.1278399999999,anon,2,RF,10000r,15f,0,.csv
1787.685303,anon,2,RF,10000r,15f,1,.csv
1787.226808,anon,2,RF,10000r,15f,2,.csv
2224.420515,anon,2,RF,10000r,20f,0,.csv
2218.3627899999997,anon,2,RF,10000r,20f,1,.csv
2209.6858709999997,anon,2,RF,10000r,20f,2,.csv
404.53009299999997,anon,2,RF,1000r,10f,0,.csv
398.156879,anon,2,RF,1000r,10f,1,.csv
404.86895899999996,anon,2,RF,1000r,10f,2,.csv
459.178634,anon,2,RF,1000r,15f,0,.csv
459.09281899999996,anon,2,RF,1000r,15f,1,.csv
452.717896,anon,2,RF,1000r,15f,2,.csv
456.52885999999995,anon,2,RF,1000r,20f,0,.csv
458.615586,anon,2,RF,1000r,20f,1,.csv
456.51262499999996,anon,2,RF,1000r,20f,2,.csv
698.185346,anon,2,RF,5000r,10f,0,.csv
701.8490949999999,anon,2,RF,5000r,10f,1,.csv
708.765215,anon,2,RF,5000r,10f,2,.csv
1112.598348,anon,2,RF,5000r,15f,0,.csv
1103.218001,anon,2,RF,5000r,15f,1,.csv
1098.411555,anon,2,RF,5000r,15f,2,.csv
1165.317024,anon,2,RF,5000r,20f,0,.csv
1171.416679,anon,2,RF,5000r,20f,1,.csv
1160.500386,anon,2,RF,5000r,20f,2,.csv
778.3523769999999,idle,0,.csv,,,,
764.202999,idle,1,.csv,,,,
770.7795209999999,idle,2,.csv,,,,
0.648192,orig,1,KNN,10000r,10f,0,.csv
0.646482,orig,1,KNN,10000r,10f,1,.csv
0.648802,orig,1,KNN,10000r,10f,2,.csv
0.8789659999999999,orig,1,KNN,10000r,15f,0,.csv
0.8172579999999999,orig,1,KNN,10000r,15f,1,.csv
0.8860439999999999,orig,1,KNN,10000r,15f,2,.csv
0.978329,orig,1,KNN,10000r,20f,0,.csv
1.258175,orig,1,KNN,10000r,20f,1,.csv
1.050168,orig,1,KNN,10000r,20f,2,.csv
0.200622,orig,1,KNN,1000r,10f,0,.csv
0.154175,orig,1,KNN,1000r,10f,1,.csv
0.142639,orig,1,KNN,1000r,10f,2,.csv
0.177062,orig,1,KNN,1000r,15f,0,.csv
0.174011,orig,1,KNN,1000r,15f,1,.csv
0.177733,orig,1,KNN,1000r,15f,2,.csv
0.23632699999999998,orig,1,KNN,1000r,20f,0,.csv
0.21026499999999998,orig,1,KNN,1000r,20f,1,.csv
0.21087499999999998,orig,1,KNN,1000r,20f,2,.csv
0.341918,orig,1,KNN,5000r,10f,0,.csv
0.349303,orig,1,KNN,5000r,10f,1,.csv
0.333983,orig,1,KNN,5000r,10f,2,.csv
0.46740699999999996,orig,1,KNN,5000r,15f,0,.csv
0.412047,orig,1,KNN,5000r,15f,1,.csv
0.411193,orig,1,KNN,5000r,15f,2,.csv
0.5399769999999999,orig,1,KNN,5000r,20f,0,.csv
0.471862,orig,1,KNN,5000r,20f,1,.csv
0.529724,orig,1,KNN,5000r,20f,2,.csv
8.152689,orig,1,Logistic,10000r,10f,0,.csv
8.017558,orig,1,Logistic,10000r,10f,1,.csv
7.821695999999999,orig,1,Logistic,10000r,10f,2,.csv
33.616796,orig,1,Logistic,10000r,15f,0,.csv
33.218909,orig,1,Logistic,10000r,15f,1,.csv
33.736669,orig,1,Logistic,10000r,15f,2,.csv
39.22573,orig,1,Logistic,10000r,20f,0,.csv
39.896871,orig,1,Logistic,10000r,20f,1,.csv
38.591149,orig,1,Logistic,10000r,20f,2,.csv
1.762996,orig,1,Logistic,1000r,10f,0,.csv
1.74963,orig,1,Logistic,1000r,10f,1,.csv
1.8719439999999998,orig,1,Logistic,1000r,10f,2,.csv
4.653919,orig,1,Logistic,1000r,15f,0,.csv
4.253285,orig,1,Logistic,1000r,15f,1,.csv
4.3146249999999995,orig,1,Logistic,1000r,15f,2,.csv
4.126211,orig,1,Logistic,1000r,20f,0,.csv
3.76177,orig,1,Logistic,1000r,20f,1,.csv
3.670096,orig,1,Logistic,1000r,20f,2,.csv
7.707805,orig,1,Logistic,5000r,10f,0,.csv
7.7720139999999995,orig,1,Logistic,5000r,10f,1,.csv
7.522625,orig,1,Logistic,5000r,10f,2,.csv
21.110236999999998,orig,1,Logistic,5000r,15f,0,.csv
20.034983999999998,orig,1,Logistic,5000r,15f,1,.csv
20.863473,orig,1,Logistic,5000r,15f,2,.csv
19.740733,orig,1,Logistic,5000r,20f,0,.csv
18.980909,orig,1,Logistic,5000r,20f,1,.csv
18.503797,orig,1,Logistic,5000r,20f,2,.csv
1887.8094979999998,orig,1,RF,10000r,10f,0,.csv
1892.879798,orig,1,RF,10000r,10f,1,.csv
1893.536596,orig,1,RF,10000r,10f,2,.csv
2424.206869,orig,1,RF,10000r,15f,0,.csv
2418.6382169999997,orig,1,RF,10000r,15f,1,.csv
2404.9934169999997,orig,1,RF,10000r,15f,2,.csv
2634.422944,orig,1,RF,10000r,20f,0,.csv
2603.3934209999998,orig,1,RF,10000r,20f,1,.csv
2628.227646,orig,1,RF,10000r,20f,2,.csv
467.584619,orig,1,RF,1000r,10f,0,.csv
473.998176,orig,1,RF,1000r,10f,1,.csv
473.831978,orig,1,RF,1000r,10f,2,.csv
502.538936,orig,1,RF,1000r,15f,0,.csv
504.201956,orig,1,RF,1000r,15f,1,.csv
500.92987,orig,1,RF,1000r,15f,2,.csv
508.58872499999995,orig,1,RF,1000r,20f,0,.csv
509.075723,orig,1,RF,1000r,20f,1,.csv
506.763778,orig,1,RF,1000r,20f,2,.csv
1192.84918,orig,1,RF,5000r,10f,0,.csv
1187.731029,orig,1,RF,5000r,10f,1,.csv
1186.879164,orig,1,RF,5000r,10f,2,.csv
-260864.863861,orig,1,RF,5000r,15f,0,.csv
1273.092261,orig,1,RF,5000r,15f,1,.csv
1276.7693749999999,orig,1,RF,5000r,15f,2,.csv
1406.142092,orig,1,RF,5000r,20f,0,.csv
1410.708363,orig,1,RF,5000r,20f,1,.csv
1402.341442,orig,1,RF,5000r,20f,2,.csv
0.586241,orig,2,KNN,10000r,10f,0,.csv
0.590513,orig,2,KNN,10000r,10f,1,.csv
0.5590189999999999,orig,2,KNN,10000r,10f,2,.csv
0.8186019999999999,orig,2,KNN,10000r,15f,0,.csv
0.7593369999999999,orig,2,KNN,10000r,15f,1,.csv
0.803831,orig,2,KNN,10000r,15f,2,.csv
0.996091,orig,2,KNN,10000r,20f,0,.csv
1.025816,orig,2,KNN,10000r,20f,1,.csv
1.058346,orig,2,KNN,10000r,20f,2,.csv
0.153992,orig,2,KNN,1000r,10f,0,.csv
0.12060599999999999,orig,2,KNN,1000r,10f,1,.csv
0.121582,orig,2,KNN,1000r,10f,2,.csv
1.068479,orig,2,KNN,1000r,15f,0,.csv
0.158447,orig,2,KNN,1000r,15f,1,.csv
0.155395,orig,2,KNN,1000r,15f,2,.csv
6.387312,orig,2,KNN,1000r,20f,0,.csv
0.216308,orig,2,KNN,1000r,20f,1,.csv
0.14105099999999998,orig,2,KNN,1000r,20f,2,.csv
0.31732099999999996,orig,2,KNN,5000r,10f,0,.csv
0.27954,orig,2,KNN,5000r,10f,1,.csv
0.333678,orig,2,KNN,5000r,10f,2,.csv
0.40685899999999997,orig,2,KNN,5000r,15f,0,.csv
0.413879,orig,2,KNN,5000r,15f,1,.csv
0.355164,orig,2,KNN,5000r,15f,2,.csv
0.515135,orig,2,KNN,5000r,20f,0,.csv
0.469726,orig,2,KNN,5000r,20f,1,.csv
0.533752,orig,2,KNN,5000r,20f,2,.csv
6.427290999999999,orig,2,Logistic,10000r,10f,0,.csv
6.224716,orig,2,Logistic,10000r,10f,1,.csv
6.8466629999999995,orig,2,Logistic,10000r,10f,2,.csv
26.71972,orig,2,Logistic,10000r,15f,0,.csv
27.209525,orig,2,Logistic,10000r,15f,1,.csv
26.803030999999997,orig,2,Logistic,10000r,15f,2,.csv
28.187732999999998,orig,2,Logistic,10000r,20f,0,.csv
28.471546,orig,2,Logistic,10000r,20f,1,.csv
27.582693,orig,2,Logistic,10000r,20f,2,.csv
2.629143,orig,2,Logistic,1000r,10f,0,.csv
2.684685,orig,2,Logistic,1000r,10f,1,.csv
2.737419,orig,2,Logistic,1000r,10f,2,.csv
5.807113999999999,orig,2,Logistic,1000r,15f,0,.csv
5.643358,orig,2,Logistic,1000r,15f,1,.csv
5.751938,orig,2,Logistic,1000r,15f,2,.csv
5.975021,orig,2,Logistic,1000r,20f,0,.csv
5.899216,orig,2,Logistic,1000r,20f,1,.csv
5.848129999999999,orig,2,Logistic,1000r,20f,2,.csv
2.9513469999999997,orig,2,Logistic,5000r,10f,0,.csv
3.043326,orig,2,Logistic,5000r,10f,1,.csv
2.999565,orig,2,Logistic,5000r,10f,2,.csv
12.899381,orig,2,Logistic,5000r,15f,0,.csv
13.447047999999999,orig,2,Logistic,5000r,15f,1,.csv
12.740141,orig,2,Logistic,5000r,15f,2,.csv
17.618729,orig,2,Logistic,5000r,20f,0,.csv
17.359147,orig,2,Logistic,5000r,20f,1,.csv
17.679396999999998,orig,2,Logistic,5000r,20f,2,.csv
1906.8576059999998,orig,2,RF,10000r,10f,0,.csv
1960.0627319999999,orig,2,RF,10000r,10f,1,.csv
1959.0468039999998,orig,2,RF,10000r,10f,2,.csv
2445.207669,orig,2,RF,10000r,15f,0,.csv
2422.335841,orig,2,RF,10000r,15f,1,.csv
2418.7472869999997,orig,2,RF,10000r,15f,2,.csv
2601.763725,orig,2,RF,10000r,20f,0,.csv
2586.624848,orig,2,RF,10000r,20f,1,.csv
2593.9267099999997,orig,2,RF,10000r,20f,2,.csv
480.62908,orig,2,RF,1000r,10f,0,.csv
483.91074799999996,orig,2,RF,1000r,10f,1,.csv
481.88780399999996,orig,2,RF,1000r,10f,2,.csv
500.21435599999995,orig,2,RF,1000r,15f,0,.csv
499.855349,orig,2,RF,1000r,15f,1,.csv
501.925168,orig,2,RF,1000r,15f,2,.csv
517.655169,orig,2,RF,1000r,20f,0,.csv
516.800983,orig,2,RF,1000r,20f,1,.csv
521.946052,orig,2,RF,1000r,20f,2,.csv
869.206881,orig,2,RF,5000r,10f,0,.csv
873.761801,orig,2,RF,5000r,10f,1,.csv
874.5064289999999,orig,2,RF,5000r,10f,2,.csv
1335.4277339999999,orig,2,RF,5000r,15f,0,.csv
1327.523579,orig,2,RF,5000r,15f,1,.csv
1327.019796,orig,2,RF,5000r,15f,2,.csv
1383.8553439999998,orig,2,RF,5000r,20f,0,.csv
1399.12972,orig,2,RF,5000r,20f,1,.csv
1401.013504,orig,2,RF,5000r,20f,2,.csv
